title,artist,album,cover,file
Caras e Bocas,Renno,"Pra dançar, curtir e beber",pra_dancar_curtir_e_beber.jpeg,caras_e_bocas.mp3
Assume ou Solta,Renno,"Pra dançar, curtir e beber",pra_dancar_curtir_e_beber.jpeg,assume_ou_solta.mp3
Erro Gostoso,Renno,"Pra dançar, curtir e beber",pra_dancar_curtir_e_beber.jpeg,erro_gostoso.mp3
Resumo,Renno,Resumo,resumo.jpeg,resumo.mp3
Só Pra Me Machucar,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,so_pra_me_machucar.mp3
A Culpa é Dela,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,a_culpa_e_dela.mp3
Evita esse Sofrimento,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,evita_esse_sofrimento.mp3
A Pior Parte,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,a_pior_parte.mp3
Love Disfarçado,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,love_disfarcado.mp3
Sexta-feira,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,sexta_feira.mp3
Ou a Vaquejada ou Eu,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,ou_a_vaquejada_ou_eu.mp3
Fica com Eu,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,fica_com_eu.mp3
Valeu Ela,Renno,"Pra Dançar, Curtir e Beber: Em Casa",pra_dancar_curtir_e_beber_em_casa.jpeg,valeu_ela.mp3
Detalhe Pendente,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,detalhe_pendente.mp3
3 Dias,Renno,Piseiro Summer Deluxe,piseiro_summer_deluxe.jpeg,3_dias.mp3
Quem Perdeu que Sofra,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,quem_perdeu_que_sofra.mp3
Valeu Cama,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,valeu_cama.mp3
Cartão de Visita,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,cartao_de_visita.mp3
Amor de Colchão,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,amor_de_colchao.mp3
Minha Pequena,Renno,Piseiro Summer Deluxe,piseiro_summer_deluxe.jpeg,minha_pequena.mp3
